Date,Ride Name,Est. Power (W),Power Zone
2024-05-14 14:29:08+00:00,Ride 1,108.9,Z1 - Recovery
2024-05-20 18:29:12+00:00,Ride 2,97.6,Z1 - Recovery
2024-05-23 14:20:20+00:00,Ride 3,121.0,Z1 - Recovery
2024-06-01 17:38:57+00:00,Ride 4,83.5,Z1 - Recovery
2024-06-04 17:27:28+00:00,Ride 5,45.4,Z1 - Recovery
2024-06-15 12:22:24+00:00,Hike 1,43.8,Z1 - Recovery
2024-06-20 13:21:10+00:00,Ride 5,80.3,Z1 - Recovery
2024-06-29 10:07:31+00:00,Ride 7,41.0,Z1 - Recovery
2024-07-05 09:10:38+00:00,Ride 8,68.8,Z1 - Recovery
2024-07-13 17:27:05+00:00,Ride 9,91.4,Z1 - Recovery
2024-07-21 19:16:30+00:00,Ride 10,107.3,Z1 - Recovery
2024-08-25 17:08:51+00:00,Ride 11,96.7,Z1 - Recovery
2024-08-26 18:14:29+00:00,Ride 12,98.6,Z1 - Recovery
2024-08-27 06:01:41+00:00,Ride 13,60.5,Z1 - Recovery
2024-09-02 15:21:32+00:00,Ride 14,96.5,Z1 - Recovery
2024-09-06 10:25:16+00:00,Ride 15,95.7,Z1 - Recovery
2024-09-13 15:02:45+00:00,Ride 16,97.0,Z1 - Recovery
2024-10-01 17:29:10+00:00,Ride 17,94.4,Z1 - Recovery
2024-10-05 16:12:25+00:00,Ride 18,131.6,Z1 - Recovery
2024-10-12 13:51:59+00:00,Ride 19,77.0,Z1 - Recovery
2024-10-12 18:27:03+00:00,Ride 20,93.0,Z1 - Recovery
2024-10-18 16:55:03+00:00,Ride 21,106.3,Z1 - Recovery
2024-10-19 19:46:11+00:00,Ride 22 (Zbiórka Ride 1),101.6,Z1 - Recovery
2024-10-26 14:21:19+00:00,Ride 23 (Zbiórka Ride 2),67.6,Z1 - Recovery
2024-11-16 14:16:58+00:00,Ride 24,98.2,Z1 - Recovery
2024-12-30 14:05:32+00:00,Ride 25,94.0,Z1 - Recovery
2025-02-07 11:15:25+00:00,Ride 1,92.6,Z1 - Recovery
2025-02-11 09:37:46+00:00,Ride 2,89.7,Z1 - Recovery
2025-02-14 09:27:17+00:00,Ride 3,83.4,Z1 - Recovery
2025-02-26 15:04:58+00:00,Ride 4,123.2,Z1 - Recovery
2025-03-01 15:57:32+00:00,Ride 5,96.0,Z1 - Recovery
2025-03-02 12:07:00+00:00,Run 1 Bieg Tropem Wilczym,31.9,Z1 - Recovery
2025-03-10 13:50:50+00:00,Ride 6,100.1,Z1 - Recovery
2025-03-19 06:07:47+00:00,Ride 7,94.8,Z1 - Recovery
2025-04-03 08:48:10+00:00,Ride 8,123.2,Z1 - Recovery
2025-04-04 12:17:13+00:00,Ride 9,109.1,Z1 - Recovery
2025-04-06 17:35:08+00:00,Ride 10,78.6,Z1 - Recovery
2025-04-17 14:07:01+00:00,Ride 11,130.7,Z1 - Recovery
2025-04-18 13:07:42+00:00,Ride 12,121.1,Z1 - Recovery
2025-04-21 13:56:24+00:00,Ride 13,98.5,Z1 - Recovery
2025-04-22 12:32:30+00:00,Ride 14,131.1,Z1 - Recovery
2025-04-25 11:28:53+00:00,Ride 15,151.1,Z2 - Endurance
2025-04-27 12:38:05+00:00,Ride 16,129.0,Z1 - Recovery
2025-04-29 10:35:38+00:00,Ride 17,146.7,Z2 - Endurance
2025-05-01 11:00:57+00:00,Ride 18,155.2,Z2 - Endurance
2025-05-02 12:14:47+00:00,Ride 19,122.8,Z1 - Recovery
2025-05-04 08:50:20+00:00,Ride 20 FBBT 2025,163.5,Z2 - Endurance
2025-05-07 09:24:01+00:00,Ride 21,150.2,Z2 - Endurance
2025-05-18 11:48:35+00:00,Ride 22,138.3,Z2 - Endurance
2025-05-20 15:08:52+00:00,Ride 23,126.8,Z1 - Recovery
2025-05-24 16:17:51+00:00,Ride 24,107.7,Z1 - Recovery
2025-05-26 15:51:35+00:00,Ride 25,119.3,Z1 - Recovery
2025-05-29 13:56:56+00:00,Ride 26,105.9,Z1 - Recovery
2025-05-30 15:03:36+00:00,Ride 27,112.9,Z1 - Recovery
